Domain,Input,Output,Modeling category,Modeling technique,Explainability,Relevance,EID
Chip manufacturing,Sensor data,Fault prediction,Data driven,"['Autoencoder', 'Support Vector Machine', 'Random Forest', 'Self-organizing map']","Yes: Self-organizing map, Sparse autoencoder (SAE) and SSAE are interpretable/visualizable techniques",3,2-s2.0-85203535791
Robotics,Sensor data,Fault prediction,Data driven,Not explicitly specified,No,4,2-s2.0-85187989393
Chip manufacturing,Sensor data,Fault prediction,Physics informed,['DFT calculation'],Yes: DFT calculation,2,2-s2.0-105003043802
Rotating Machinery,Sensor data,Fault prediction,Data driven,"Convolutional Neural Network (CNN), Cross attention mechanism",Yes: visualization of features,4,2-s2.0-85205831789
Industrial systems / Machine fault diagnosis in manufacturing,Sensor data,Fault prediction,Data driven,"Deep transform learning (DTL), subspace interpolation",No,4,2-s2.0-85193209984
Machinery / Mechanical systems,Sensor data,Fault prediction,Data driven,"Algorithm unrolling, convolutional neural network (CNN)",Yes: Interpretable neural network via algorithm unrolling,3,2-s2.0-85178010287
Chip manufacturing,Sensor data,Fault prediction,Data driven,Contrastive learning,No,3,2-s2.0-85197524212
Industrial systems / Bearings / Fault diagnosis,Sensor data,Fault prediction,Hybrid,"Cyclostationary analysis, Evidence theory (Dempster-Shafer), Mahalanobis distance","Yes: Demodulation techniques, evidence theory",4,2-s2.0-85190747421
Industrial process plants / Gasket sealing systems,Sensor data,Leakage prediction / Sealing quality assessment,Data driven,"Fiber Bragg grating sensors, strain measurement",Yes: rule-based thresholds for leakage detection,4,2-s2.0-105006913139
Industrial systems,Sensor data,Fault prediction,Physics based,"Magnetic field distribution model, magnetization mechanism, coherent demodulation, filtering amplification",Yes: physics-based models and signal processing techniques are interpretable,2,2-s2.0-105001877152
Industrial systems / Electric motors,Sensor data,Fault prediction,Data driven,"k-nearest neighbors (kNN), Clustering",Yes: kNN and clustering are interpretable techniques,3,2-s2.0-85193494721
Industrial systems / Blower components / HVAC-like equipment,Images,Fault prediction,Data driven,"['K-means++ clustering', 'k-nearest neighbor (KNN)', 'Sliding windows']",Yes: Clustering and KNN are interpretable techniques,3,2-s2.0-85179829670
Power transformer systems,Vibration signals,Fault prediction,Data driven,"Deep residual network with attention modules, Gramian-guided filtering",No,3,2-s2.0-85189646944
Space mission systems,"Sensor data, Time series, Unstructured data",Fault prediction,Data driven,"Informer, Isolation Forest, Monte Carlo simulation",No,2,2-s2.0-85212294530
Industrial machinery / Rotating machinery,"Multisensor data, Multidomain data",Fault prediction,Data driven,Residual Networks (ResNet),No,4,2-s2.0-105006678481
