Domain,Input,Output,Modeling category,Modeling technique,Explainability,Relevance,EID
Chip manufacturing,"['Sensor data', 'Time series', 'Unstructured data']",['Fault prediction'],Data driven,"['Attention-1DCNN', 'Softmax regression']",No,4,2-s2.0-85219599283
Manufacturing / Grinding Machines,"['Sensor data', 'Time series']",['Fault prediction'],Data driven,"['Support Vector Machine', 'Learning Vector Quantization']",No,3,2-s2.0-85101539067
Commercial buildings,Sensor data,Fault prediction,Rules and/or logic based,Residual-based detection and adaptive thresholds,Yes: Residuals and thresholds,4,2-s2.0-85101634616
Bridges / Structural Health Monitoring,Sensor data,Condition indicators / Deviation detection,Data driven,Statistical evaluation,Yes: Statistical analysis and visualization,2,2-s2.0-85202570011
Power transmission and transformation systems,"['Sensor data', 'Images']",['Fault prediction'],Data driven,,No,3,2-s2.0-85100730328
Industrial systems,"Sensor data, Time series, Unstructured data","Fault prediction, Remaining Useful Life",Data driven,"Big data analytics, AI techniques",No,3,2-s2.0-105002701232
Power systems / Electric power cables,Simulation data,Fault detection and localization,Physics based,ATP-EMTP simulation,Yes: physics-based simulation and propagation analysis,2,2-s2.0-85087501853
Industrial assets / Structural health monitoring,Sensor data,Asset health monitoring,Data driven,Not specified,No,2,2-s2.0-85219629578
Manufacturing production lines,Sensor data,Fault prediction,Data driven,"['Random Forest', 'XGBoost']",No,4,2-s2.0-105002705678
"Industrial liquids and process control systems (e.g., Tank systems, liquid-level control in food industries, petrochemicals)",Structured data,Fault prediction,Rules and/or logic based,"['Unknown input observer (UIO)', 'Parity methods', 'Factorization methods']",Yes: thresholding residuals and model-based detection methods are interpretable,2,2-s2.0-85185563016
Sports facilities (cricket stadiums),Sensor data,Ground condition prediction,Data driven,Machine learning,No,2,2-s2.0-85174247217
Power semiconductor manufacturing,"Sensor data, Time series",Fault prediction,Physics informed,"Thermal simulation, Data analysis",Yes: physics-based simulation and rule-based interpretation,3,2-s2.0-85106421439
Oil drilling equipment,Structured data,Fault prediction,Data driven,Attention-Based Compressed Relational Graph Convolutional Network,Yes: graph structure-based algorithm and link prediction provide interpretability,3,2-s2.0-85143086436
Aero-engine / Aerospace systems,Sensor data,Remaining Useful Life,Data driven,"['Principal Component Analysis (PCA)', 'Relevance Vector Machine (RVM)']",No,4,2-s2.0-85143084533
Photovoltaic (PV) systems,Sensor data,Fault prediction,Data driven,"RNN, Transformer",No,2,2-s2.0-85215006568
Manufacturing systems,"Sensor data, Time series",Predictive maintenance (equipment problems),Data driven,"Machine learning (classification, regression, time series forecasting)",No,4,2-s2.0-105002704574
Geological CO2 storage sites,Sensor data,Seismic activity baseline and seismicity changes,Data driven,"Seismic array analysis, signal processing techniques",Yes: Interpretable signal processing and array analysis methods,1,2-s2.0-85181399410
Aerospace systems / Aircraft engine systems,Sensor data,Remaining Useful Life,Data driven,LSTM,No,4,2-s2.0-85099702223
Aero-engine systems,Sensor data,Remaining Useful Life,Data driven,Multi-scale spatio-temporal attention mechanism,No,4,2-s2.0-85205679906
Sensor systems,Sensor data,Fault prediction,Rules and/or logic based,Discrete Fourier Transform (DFT),Yes: Spectral analysis / Fourier-based technique,1,2-s2.0-85151531969
Manufacturing / Industrial machinery,Sensor data,Fault prediction,Data driven,Artificial Intelligence-powered analytics,No,3,2-s2.0-85186663506
Industrial processes,Sensor data,Quality variable prediction,Knowledge based,Graph convolutional network (GCN),Yes: interpretability through prior graphs,3,2-s2.0-85205695140
