Domain,Input,Output,Modeling category,Modeling technique,Explainability,Relevance,EID
Electrical motor drives / Electric vehicles,Sensor data,Fault prediction,Rules and/or logic based,Pattern recognition / Sequence detection,Yes: rule-based or logic-based detection,2,2-s2.0-85208470942
Chemical and process industry,"['Data related to degradation processes', 'Information collected during audits', 'Equipment monitoring data']",['Residual Useful Lifetime'],Physics informed,Simplified aging models,Yes: simplified models and audit data,4,2-s2.0-85089200242
Industrial systems,Structured data,Fault prediction,Rules and/or logic based,Differential geometry,Yes: Differential geometry methods,2,2-s2.0-85125170559
Aerospace systems,Sensor data,Remaining Useful Life,Data driven,Deep adversarial learning,No,3,2-s2.0-85089201458
Aircraft systems / Flight control actuators,Sensor data,Fault prediction,Data driven,Surrogate modeling / Data-driven regression,No,3,2-s2.0-85135443259
Flow distribution systems,Sensor data,Remaining Useful Life,Data driven,Input-Output Hidden Markov Model (IOHMM),Yes: Hidden Markov Model (HMM),4,2-s2.0-85107271596
Autonomous vehicles / Navigation systems,Sensor data,Fault prediction,Hybrid,"['Extended Kalman Filter (EKF)', 'FDE', 'SSR corrections', 'ARAIM', 'Inertial models']","Yes: Rules and logic-based components (e.g., FDE, SSR, ARAIM) and sensors provide interpretability",2,2-s2.0-85120872809
Satellite systems / Spacecraft,Sensor data,Remaining Useful Life,Data driven,Deep learning,No,3,2-s2.0-85107266326
Automotive systems,Sensor data,Remaining Useful Life,Data driven,Statistical modeling of drift and likelihood estimation,Yes: statistical likelihood and drift modeling,3,2-s2.0-85135441872
Chip manufacturing,Temperature sensors,Fault prediction,Data driven,Unspecified in abstract,No,1,2-s2.0-85147455983
Power electronics / Electrical systems,Sensor data,Fault prediction,Hybrid,Data driven,Yes: Rule-based / Data comparison,4,2-s2.0-85208466205
Medical imaging systems (Magnetic Resonance Imaging),Sensor data,Fault prediction,Hybrid,Cerebellar Model Articulation Controller (CMAC),Yes: Residual error analysis and characteristic variables provide interpretability,2,2-s2.0-85200395618
Electrical systems/industrial electronics,['Sensor data'],['Fault prediction'],Rules and/or logic based,Threshold comparison and rule-based logic,Yes: Rule-based thresholds,3,2-s2.0-85170822811
Automotive industry,Sensor data,Fault prediction,Data driven,Not explicitly mentioned,No,2,2-s2.0-85186144639
Industrial systems with sensor-based fault detection,Sensor data,Fault prediction,Rules and/or logic based,"Event-triggered mechanisms, output space re-division",Yes: Rules and logic-based methods,2,2-s2.0-85200341084
Industrial systems or process control,Structured data,Fault prediction,Rules and/or logic based,Interval observer,Yes: Interval observer,2,2-s2.0-85135461628
Chip manufacturing,"Sensor data, Time series",Fault prediction,Data driven,"Vibration analysis (e.g., RMS, frequency domain analysis)",Yes: Use of simple statistical features like RMS and frequency domain data,3,2-s2.0-85180750620
Hydropower station,Video inspection data,Fault prediction,Data driven,"Vision sensors, PID control, CAN bus communication","Yes: PID automatic deviation correction algorithm, visual inspection",3,2-s2.0-105011038864
"Industrial equipment / machinery (general), likely applicable to various industrial systems including HVAC, manufacturing, etc.","Sensor data, Big Data","Remaining Useful Life, Fault prediction",Data driven,Machine learning algorithms,No,3,2-s2.0-85166478963
Other,Images,Images or Image quality metrics,Other,Optical design and simulation (ZEMAX),Yes: Domain knowledge and optical simulation,0,2-s2.0-85214027061
Industrial motors and actuator systems,Sensor data,Fault prediction,Data driven,K-means clustering,Yes: Clustering,3,2-s2.0-85203145402
Chip manufacturing,Sensor data,Fault prediction,Data driven,"['Support Vector Machine', 'Genetic Algorithm', 'Particle Swarm Optimization']",No,4,2-s2.0-85216933620
Hydraulic systems,Sensor data,Fault prediction,Physics based,Inductive Wheatstone bridge analysis,Yes: Physics based analysis,3,2-s2.0-85113346325
Maritime transportation systems,"Sensor data, Images","Predictive maintenance, Container damage/seal inspection",Data driven,"Machine learning, Computer vision",No,1,2-s2.0-85179181793
Chip manufacturing,Sensor data,Fault prediction,Data driven,Minimum Entropy Deconvolution (MED),Yes: Rules-based and signal processing techniques,3,2-s2.0-85193489113
Structural health monitoring,Sensor data,Fault prediction,Data driven,"2D-CNN, Bayesian optimization, Grad-CAM, CWT",Yes: Grad-CAM,2,2-s2.0-85194708693
Induction Motors,Sensor data,Fault prediction,Data driven,Wavelet Packet Transform (signal processing),Yes: Wavelet Packet Transform,3,2-s2.0-85103047519
Manufacturing / Press Fit Machines,Sensor data,Fault prediction,Data driven,IoT sensors and connectivity integrated with cloud services,No,2,2-s2.0-85191728916
Photovoltaic power generation systems,Sensor data,Fault prediction,Data driven,Not explicitly mentioned,No,4,2-s2.0-85176277471
Chip manufacturing,Sensor data,Fault prediction,Data driven,Machine Learning,No,4,2-s2.0-85159788015
Manufacturing / Small-scale production line,"Sensor data, Images, Structured data",Remaining Useful Life,Data driven,Deep learning,No,3,2-s2.0-85105664000
Electrical switchgear systems,Unstructured data,Fault prediction,Physics based,Simulation modeling,Yes: physics-based simulation,2,2-s2.0-85194149874
Industrial fleet management systems / Automated Guided Vehicles (AGVs),"Structured data (communication data, velocity estimates), possibly sensor data",Fault prediction (abnormal AGV detection),Rules and/or logic based,"Reputation-based distributed velocity estimation, possibly involving consensus algorithms",Yes: rules-based / reputation scoring,1,2-s2.0-85183032539
Refrigerated showcase systems,Sensor data,Fault prediction,Data driven,"Autoencoder, Maximum Correntropy Criterion (MCC), Stochastic Gradient Descent (SGD)",No,2,2-s2.0-85147796958
Other,Sensor data,Fault prediction,Data driven,Neural networks,No,2,2-s2.0-105000511096
Composite materials / Structural health monitoring,"Sensor data (electrical resistance measurements from piezoresistive LIG interlayers), Time series",Remaining Useful Life,Data driven,LSTM neural networks,No,2,2-s2.0-85194033159
Automotive engine systems,"Sensor data, Time series",Attack/intrusion detection,Data driven,"['RNN', 'LSTM', 'GAN', 'SPNN']",No,2,2-s2.0-85112359037
Electrical energy distribution systems,Sensor data,Fault prediction,Data driven,Embedded technology with wireless communication,No,2,2-s2.0-85153330427
Power distribution systems / Electrical distribution equipment,"['Sensor data', 'Images']",['Fault prediction'],Data driven,"Infrared thermal imaging analysis, Partial discharge detection, Fusion diagnosis techniques (implied use of sensor fusion and image analysis methods)",Yes: Fusion diagnosis techniques with interpretable thermal and UHF partial discharge data,3,2-s2.0-85206844809
Bridge health monitoring,Sensor data,Fault prediction,Data driven,"Transformer, State Space Model (SSM), PDM, Attention mechanisms",No,2,2-s2.0-85210835238
Automobile industry,Sensor data,Fault prediction,Data driven,Not specified,No,3,2-s2.0-85163070546
HVAC systems,Sensor data,Fault prediction,Data driven,"Conventional classifiers (e.g., machine learning classifiers)",Yes: Dashboard and features used for health assessment,5,2-s2.0-85145975573
Electric motors / Industrial systems,Sensor data,Fault prediction,Data driven,ANN,No,2,2-s2.0-85163087711
Pipeline monitoring / Natural gas pipelines,Sensor data,"['Fault prediction', 'Remaining Useful Life']",Hybrid,"['CNN', 'XGBoost']",No,4,2-s2.0-105008057089
Manufacturing,"Sensor data, Machine vision, Historical performance data","Fault prediction, Remaining Useful Life",Data driven,"Machine learning, AI algorithms",No,4,2-s2.0-85173623299
Industrial manufacturing,"['IoT data', 'Sensor data', 'Time series']","['Fault prediction', 'Process optimization']",Data driven,"['AI algorithms', 'Intelligent algorithms']",No,3,2-s2.0-85190279192
Structural health monitoring in composite structures,"Sensor data, Time series",Damage location and damage severity,Data driven,Machine Learning,Yes: Analysis of amplitude signals related to impact damage,4,2-s2.0-85185561308
Electric motors / Industrial systems,Sensor data,Fault prediction,Hybrid,"Physical-model approach, Topological Data Analysis (TDA)","Yes: Physical-model approach, TDA",4,2-s2.0-85175243658
Other,Structured data,Fault prediction,Data driven,Hybrid,No,2,2-s2.0-85143580592
Electrical drives / Motor systems,Sensor data,Fault prediction,Data driven,Zoom-FFT,Yes: FFT-based spectral analysis,2,2-s2.0-85175240303
Chemical machinery and equipment,Sensor data,Fault prediction,Data driven,Deep Neural Network (DNN),No,3,2-s2.0-85215935022
Industrial systems / Equipment monitoring,Sensor data,Fault prediction,Data driven,,No,1,2-s2.0-105004660733
Mechanical equipment in prognostics and health management systems,Sensor data,Remaining Useful Life,Data driven,"['Convolutional Neural Networks (CNN)', 'Multi-Layer Perceptron (MLP)']",No,3,2-s2.0-85194201134
Photovoltaic systems,Sensor data,Fault prediction,Data driven,Analyzing input current waveform and control variables,Yes: Rule-based / threshold analysis,2,2-s2.0-85154611365
Other,['Images'],['Ground deformation mapping'],Data driven,"Differential SAR interferometry (InSAR), pixel offset method, change detection",Yes: Visual interpretation and geospatial analysis techniques,0,2-s2.0-85179549032
Power systems,"['Sensor data', 'Operation history', 'Physical model data']",['Fault prediction'],Hybrid,"['Digital twin technology', 'Physical modeling', 'Simulation']",Yes: physics-based simulation and digital twin provide interpretability,4,2-s2.0-85200471178
Distribution networks / Power systems,Sensor data,Fault prediction,Data driven,Mathematical models / Sensor-based measurement,Yes: Mathematical models / Interpretable sensor-based techniques,3,2-s2.0-85191420499
Electrical distribution systems,"['Sensor data', 'Time series']",['Fault prediction'],Data driven,Not explicitly specified,No,2,2-s2.0-85091341766
"Manufacturing systems (milling processes, tool health monitoring)",Sensor data,Fault prediction,Data driven,Deep Convolutional Neural Network (DCNN),No,3,2-s2.0-85130782327
