Domain,Input,Output,Modeling category,Modeling technique,Explainability,Relevance,EID
Chip manufacturing,Sensor data,Fault prediction,Data driven,Attention-1DCNN,No,4,2-s2.0-85219599283
Chip manufacturing,Sensor data,Fault prediction,Data driven,"['Support Vector Machine', 'Learning Vector Quantization', 'Time Series Analysis']",No,4,2-s2.0-85101539067
Commercial buildings,Structured data,Fault prediction,Rules and/or logic based,"Residual-based detection, adaptive thresholds",Yes: Residuals and adaptive thresholds,5,2-s2.0-85101634616
Bridges / Structural Health Monitoring,Sensor data,Condition indicators / Deviation detection,Data driven,Statistical evaluation,Yes: Statistical analysis,1,2-s2.0-85202570011
Power Transmission and Transformation Systems (GIS equipment),"['Sensor data', 'Time series', 'Images']",Fault prediction,Data driven,"['Signal analysis', 'Feature extraction']",Yes: Use of temperature and vibration analysis provides interpretable features,3,2-s2.0-85100730328
Industrial systems,"Sensor data, Natural language text","Remaining Useful Life, Fault prediction",Data driven,"Big data analytics, AI techniques",No,3,2-s2.0-105002701232
Power cable systems,"Simulation data, electrical signals","Fault prediction, Localization",Physics based,ATP-EMTP simulation,Yes: Physical modeling and simulation,0,2-s2.0-85087501853
Industrial asset management / Structural health monitoring,Sensor data,Asset health monitoring / Maintenance decision support,Data driven,Not specified (implies use of IoT data analytics and possibly machine learning techniques),No,3,2-s2.0-85219629578
Manufacturing facilities,Sensor data,Fault prediction,Data driven,"['Random Forest', 'XGBoost']",Yes: Tree-based models like Random Forest and XGBoost are generally interpretable/show features importance,4,2-s2.0-105002705678
Industrial systems / control systems,Structured data,Fault prediction,Rules and/or logic based,"['Unknown input observer (UIO)', 'Parity', 'Factorization methods']",Yes: rule-based and model-based fault detection techniques,3,2-s2.0-85185563016
Sports facilities (cricket stadiums),Sensor data,Future ground conditions prediction,Data driven,Machine learning,No,2,2-s2.0-85174247217
Chip manufacturing,Sensor data,Fault prediction,Physics based,3D thermal simulation,Yes: physics based simulation,3,2-s2.0-85106421439
Industrial equipment maintenance,"Structured data, Knowledge Graph",Link prediction / Fault explanation,Hybrid,Attention-Based Compressed Relational Graph Convolutional Network,Yes: Attention mechanism,3,2-s2.0-85143086436
Aero-engines,"Sensor data, Time series",Remaining Useful Life,Data driven,"['Principal Component Analysis (PCA)', 'Relevance Vector Machine (RVM)']",No,4,2-s2.0-85143084533
Other,Sensor data,Fault prediction,Data driven,RNN,No,3,2-s2.0-85215006568
Industrial manufacturing,"Sensor data, Time series","Fault prediction, Remaining Useful Life",Data driven,"Machine learning (classification, regression, time series forecasting)",No,4,2-s2.0-105002704574
Geological monitoring / Seismic monitoring,Sensor data,Baseline seismicity monitoring,Data driven,"Sensor array analysis, seismic signal processing",Yes: signal analysis and noise reduction techniques,2,2-s2.0-85181399410
Prognostics and Health Management (PHM) for complex systems,Sensor data,Remaining Useful Life,Data driven,LSTM,No,4,2-s2.0-85099702223
Aero-engine systems,Sensor data,Remaining Useful Life,Data driven,Multi-scale spatiotemporal attention mechanism,Yes: attention mechanism,5,2-s2.0-85205679906
Sensors / Electromagnetic sensors,Sensor data,Fault prediction,Data driven,Spectral analysis / Discrete Fourier Transform (DFT),Yes: spectral analysis,2,2-s2.0-85151531969
Industrial manufacturing systems,Sensor data,Fault prediction,Data driven,Artificial Intelligence-powered analytics,No,4,2-s2.0-85186663506
Industrial processes,Sensor data,Quality variable prediction,Data driven,Graph Convolutional Network (GCN),Yes: incorporates prior knowledge via graphs,4,2-s2.0-85205695140
Pharmaceutical facilities,"['Images', 'Radiometric data']",['Fault prediction'],Data driven,"Image processing, Pattern recognition (thermal fingerprint)",Yes: Interpretable image segmentation and pattern recognition,2,2-s2.0-85099457965
Internet of Things (IoT) networks,Structured data,Fault prediction,Data driven,Machine learning,No,1,2-s2.0-85207091350
Industrial systems with rotating machinery (specifically induction motors and bearings in automotive and home appliances),Sensor data,Fault prediction,Data driven,"['Empirical Mode Decomposition (EMD)', 'Backpropagation Neural Network (BNN)']",No,2,2-s2.0-85127002510
Industrial systems / Bearing fault diagnosis,Sensor data,Fault prediction,Data driven,"['CNN', 'ELM']",No,3,2-s2.0-85100878619
Industrial systems using induction motors or electromechanical equipment in industrial settings,"Sensor data, Time series, Images",Fault prediction,Data driven,"Deep Transfer Learning, CNN (Squeezenet)",No,4,2-s2.0-85138828495
Aviation systems,"Sensor data, Time series",Remaining Useful Life,Data driven,"['LSTM', 'SHAP analysis']",Yes: SHAP analysis,4,2-s2.0-85208650028
Aircraft engines / aviation industry,Sensor data,Remaining Useful Life,Data driven,"['XGBoost', 'LightGBM']",No,4,2-s2.0-85101200797
Industrial systems,IoT data,Fault prediction,Data driven,AutoML,Yes: Interpretable ML algorithms,4,2-s2.0-85215789664
Industrial systems / Rolling bearings,Sensor data,Fault prediction,Data driven,"Variational Autoencoder (VAE), Generative Adversarial Network (GAN)",No,2,2-s2.0-85219595020
Manufacturing machinery,Sensor data,Remaining Useful Life,Hybrid,"['Event clustering', 'Regression']",Yes: Event-based genomics and failure sequence analysis,4,2-s2.0-85093976423
Other,Sensor data,Fault prediction,Data driven,"['SVM', 'Gravity Search Algorithm']",Yes: Support Vector Machine,3,2-s2.0-85219620460
Structural health monitoring,Sensor data,Fault prediction,Data driven,"AI (unspecified), embedded AI models on sensor nodes",No,3,2-s2.0-85202556406
Electric Vehicles (EVs),Sensor data,"Remaining Useful Life, Fault prediction, Root cause analysis",Data driven,"Blockchain, IoT sensors, Smart contracts","Yes: Smart contracts and blockchain provide transparent, explainable tracking",3,2-s2.0-105002272464
Industrial assets,Sensor data,Fault prediction / Anomaly detection,Data driven,Machine learning,No,3,2-s2.0-85205771179
Switched systems,Sensor data,Fault prediction,Rules and/or logic based,"Interval observers, LMIs",Yes: Rules and/or logic based techniques,2,2-s2.0-85092169576
Motorcycle systems,Sensor data,Fault prediction,Data driven,LSTM,No,1,2-s2.0-85151533490
Water distribution networks,Sensor data,Data completeness/imputation quality,Data driven,"['k-Nearest Neighbors', 'MissForest', 'Transformers', 'Recurrent Neural Networks']",No,1,2-s2.0-105007286098
Other,Structured data,Data security & integrity,Rules and/or logic based,"Blockchain, digital signatures, cryptography",Yes: Rules-based and cryptographic techniques,2,2-s2.0-85215000688
Industrial robots,Sensor data,Fault prediction,Data driven,Machine learning,No,4,2-s2.0-85097712425
Aerospace structures,"['Acceleration data', 'Strain data']",['Fault prediction'],Hybrid,"['NSFD (Nullspace-based Fault Detection)', 'Machine Learning']",No,3,2-s2.0-85202635266
Wireless Sensor Networks (WSNs),Sensor data,Remaining Useful Life,Rules and/or logic based,"Greedy clustering, Distributed clustering, Data aggregation",Yes: rules and clustering algorithms,0,2-s2.0-85186715102
Electric Vehicles / Automotive systems,Sensor data,Fault prediction / Fault detection,Rules and/or logic based,"Sensor fusion, Fault Detection and Isolation (FDI)",Yes: Rules and logical comparison,1,2-s2.0-85092154880
Chip manufacturing,Sensor data,Remaining Useful Life,Physics based,"Wiener process, Maximum likelihood estimation (MLE)","Yes: correlation analysis, degradation signal transformation",4,2-s2.0-85219592605
Nuclear systems,Time series,Fault prediction,Data driven,"['Decision Tree (DT)', 'Extreme Gradient Boosting (XGBoost)', 'Recurrent Neural Networks (RNN)', 'Long Short-Term Memory (LSTM) networks']",No,2,2-s2.0-85215773785
Industrial systems,Sensor data,Fault prediction,Data driven,"['Random Forest', 'LSTM', 'Autoencoders']",No,4,2-s2.0-105002704317
Industrial generators,Sensor data,Fault prediction,Data driven,Pattern recognition,No,4,2-s2.0-85096779616
